URL,Comments,Views,Likes,Date
https://www.instagram.com/p/CB1XK-BH5ez/,2,233,37,"Jun 24, 2020"
https://www.instagram.com/p/B9y7pTAAW0n/,7,491,91,"Mar 16, 2020"
https://www.instagram.com/p/CDuO-OHjeej/,3,96,14,"Aug 10, 2020"
